folder,alias,name,description,class,size,type,CS,OC,PAVA,Hexachloroethane,Terephthalic Acid,Silica,Paint,manufacturer,manufacturer_weblink,item_number,PPB,MCSO,OSP,DHS,item_image,image_alt_text,weblink,spec_sheet,safety_data_sheet,source
1,pround_red,P.Round™,red dimple ball,projectile,0.68,powder ball,0,1,1,0,0,0,0,Qian Wei Paintball Support Co.Ltd,https://web.archive.org/web/20190111210057/http://pround-aps.com/,,,,,1,DSC_0113x.jpg,,https://web.archive.org/web/20190111210057/http://pround-aps.com/ProundSpec.htm,,,
2,pround_orange,P.Round™,orange and yellow dimple ball,projectile,0.68,powder ball,0,1,1,0,0,0,0,Qian Wei Paintball Support Co.Ltd,https://web.archive.org/web/20190111210057/http://pround-aps.com/,,,,,1,DSC_0113x.jpg,,https://web.archive.org/web/20190111210057/http://pround-aps.com/ProundSpec.htm,,,
3,stinger_40mm_60cal,Stinger® 40 mm 60-Caliber Rubber Balls Round,rubber buckshot,projectile,40,shot shell,0,0,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,6097,,,,,DSC_0125.jpg,,https://www.defense-technology.com/product/stinger-40-mm-60-caliber-rubber-balls-round/,40mm-Stinger-60-Cal-Rubber-Ball-Round-6097.pdf,Defense Technology 6097 - 40MM 60 Caliber Stinger Rubber Ball Smokeless Round.pdf,
4,skat_40mm_cs,"Skat Shell® 40 mm Multiple Projectile Round, CS",tear gas shot multi projectile,projectile,40,shot shell,1,0,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,6172,,,,,DSC_0129.jpg,,https://www.defense-technology.com/product/skat-shell-40-mm-multiple-projectile-round-cs/,40mm-Skat-Shell.pdf,Defense Technology 6172 - Skat Shell 40 mm Multiple Projectile Round CS.pdf,
5,spede_40mm_longrange_cs,"Spede-Heat™ 40 mm Long-Range Round, Saf-Smoke™",smoke shot single projectile,projectile,40,shot shell,0,0,0,0,1,0,0,Defense Technology®,https://www.defense-technology.com/,6183,,,,,DSC_0133.jpg,,https://www.defense-technology.com/product/spede-heat-40-mm-long-range-round-saf-smoke/,40mm-Spede-Heat-Long-Range.pdf,Defense Technology 6183 - Spede-Heat 40mm Long-Range Round - Saf-Smoke.pdf,
6,skat_40mm_safsmoke,"Skat Shell® 40 mm Multiple Projectile Round, Saf-Smoke™",smoke shot multi projectile,projectile,40,shot shell,0,0,0,0,1,0,0,Defense Technology®,https://www.defense-technology.com/,6173,,,,,DSC_0140.jpg,,https://www.defense-technology.com/product/skat-shell-40-mm-multiple-projectile-round-saf-smoke/,40mm-Skat-Shell.pdf,Defense Technology 6173 - 40mm Skat-Shell Round Smoke.pdf,
7,direct_impact_40mm,Direct Impact® 40 mm Marking Crushable Foam Round,direct impact marking round ,projectile,40,shot round,0,0,0,0,0,0,1,Defense Technology®,https://www.defense-technology.com/,6326,,,,,DSC_0170.jpg,,https://www.defense-technology.com/product/direct-impact-40-mm-marking-crushable-foam-round/,40mm-Direct-Impact-Round.pdf,Defense Technology 6326 - Direct Impact 40mm Marking Crushable Foam Round.pdf,
8,exact_impact_40mm,eXact iMpact™ 40 mm Standard Range Sponge Round,exact impact  round ,projectile,40,shot round,0,0,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,6325,,,,,DSC_0178.jpg,,https://www.defense-technology.com/product/exact-impact-40-mm-standard-range-sponge-round/,40mm-eXact-iMpact-Sponge-Round-6325_Updated-Specs.pdf,Defense Technology 6325 - eXact iMpact 40mm Sponge Round.pdf,
9,aerosol_ocsc,OC/CS Aerosol Grenade,aerosol oc cs grenade,grenade,6.7 15.9,aerosol,1,1,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,1050,,,,,DSC_0183.jpg,,https://www.defense-technology.com/product/oc-cs-aerosol-grenade/,OC_CS-Aerosol-Grenade.pdf,Defense Technology 1050 - Aerosol Grenade - OC and CS.pdf,
10,continuous_cs,"Riot Control Continuous Discharge Grenade, CS",riot control cs grenade,grenade,6 15.2,pyrotechnic,1,0,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,1082,,,,,DSC_0189.jpg,,https://www.defense-technology.com/product/riot-control-continuous-discharge-grenade-cs/,Riot-Control-Grenade.pdf,Defense Technology 1082 - Riot Control Continuous Discharge Grenade CS - US.pdf,
11,trichamber_oc,Flameless Tri-Chamber OC Grenade,flameless tri chamber oc grenade,grenade,6.7 16.8,flameless,0,1,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,1030,,,,,DSC_0195.jpg,,https://www.defense-technology.com/product/flameless-tri-chamber-oc-grenade/,Tri-Chamber-Flameless-Grenade.pdf,Defense Technology 1030 - Smoke TriChamber Grenade - OC.pdf,
12,pocket_safsmoke,"Pocket Tactical Grenade, Saf-Smoke™",pocket tactical saf smoke grenade,grenade,3.6 12,pyrotechnic,0,0,0,0,1,0,0,Defense Technology®,https://www.defense-technology.com/,1017,,,,,DSC_0199.jpg,,https://www.defense-technology.com/product/pocket-tactical-grenade-saf-smoke/,Pocket-Tactical-Grenade.pdf,Defense Technology 1017 - Pocket Tactical Grenade - Saf-Smoke.pdf,
13,pocket_cs,"Pocket Tactical Grenade, CS",pocket tactical cs grenade,grenade,3.6 12,pyrotechnic,1,0,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,1016,,,,,DSC_0202.jpg,,https://www.defense-technology.com/product/pocket-tactical-grenade-cs/,Pocket-Tactical-Grenade.pdf,Defense Technology 1016 - Pocket Tactical Grenade CS - US.PDF,
14,triple_chaser_safsmoke,"Triple-Chaser® Separating Canister, Saf-Smoke™",saf smoke triple chaser grenade,grenade,6.9 16.5,pyrotechnic,0,0,0,0,1,0,0,Defense Technology®,https://www.defense-technology.com/,1027,,,,,DSC_0209.jpg,,https://www.defense-technology.com/product/triple-chaser-separating-canister-saf-smoke/,Triple-Chaser-Grenade.PDF,Defense Technology 1027 - Triple-Chaser Separating Canister - Saf-Smoke.PDF,
15,triple_chaser_cs,"Triple-Chaser® Separating Canister, CS",cs triple chaser grenade,grenade,6.9 16.5,pyrotechnic,1,0,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,1026,,,,,DSC_0216.jpg,,https://www.defense-technology.com/product/triple-chaser-separating-canister-cs/,Triple-Chaser-Grenade.PDF,Defense Technology 1026 - Triple-Chaser Separating Canister CS - US.pdf,
16,blast_oc,Instantaneous Blast OC Grenade,oc instantaneous blast,grenade,6.7 15.5,explosive,0,1,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,1040,,,,1,DSC_0231.jpg,,https://www.defense-technology.com/product/instantaneous-blast-oc-grenade/,Instantaneous-Blast-Grenade.pdf,Defense Technology 1040 - Instantaneous Blast Grenade - OC.pdf,
17,blast_cs,Instantaneous Blast CS Grenade,cs instantaneous blast,grenade,6.7 15.5,explosive,1,0,0,0,0,0,0,Defense Technology®,https://www.defense-technology.com/,1042,,,,1,DSC_0238.jpg,,https://www.defense-technology.com/product/instantaneous-blast-cs-grenade/,Instantaneous-Blast-Grenade.pdf,Defense Technology 1042 - Instantaneous Blast CS Grenade.pdf,
18,military_style_hc,Maximum HC Smoke Military-Style Canister,,grenade,6 14,pyrotechnic,0,0,0,1,0,0,0,Defense Technology®,https://www.defense-technology.com/,1083,,,,1,Clipboard01.jpg,,https://www.defense-technology.com/product/maximum-smoke-hc-military-style-canister/,Maximum-Coverage-HC-Smoke-Grenade_Military-Style.pdf,Defense Technology 1083 - Military-Style Maximum Smoke HC Grenade.pdf,https://twitter.com/Antifa_Phoenix/status/1284824128281669632
19,military_style_green,Military-Style Green Smoke Grenade,,grenade,6 15.2,pyrotechnic,0,0,0,0,1,0,0,Defense Technology®,https://www.defense-technology.com/,1065,,,,1,DSC_0162.jpg,,https://www.defense-technology.com/product/military-style-green-smoke-grenade/,Colored-Smoke-Grenade.pdf,Defense Technology 1065 - Military-Style Smoke Grenade - Green.pdf,
