folder	name	description	class	size	type	CS	OC	PAVA	ZnCl	HC	Smoke	Talc	Paint	manufacturer	manufacturer_weblink	item number	PPB	MCSO	OSP	DHS	item image	image alt text	weblink	spec sheet	saftey data sheet	notes
31	40MM Outdoor White Smoke Long Range		projectile	40	shot shell									Combined Systems, Inc.	https://www.combinedsystems.com/	4210					EdfIe6WUMAAQEVR.jpg		https://www.combinedsystems.com/product/4210-40mm-outdoor-white-smoke-long-range/	4210-4220-4230-CTS-Rev-C.pdf		photo from https://twitter.com/KimBrater/status/1285716656329838595/photo/1
32	40mm Riot CS Smoke Projectile		projectile	40	shot shell									Combined Systems, Inc.	https://www.combinedsystems.com/	4230					DSC_0652.jpg		https://www.combinedsystems.com/product/4230-40mm-cs-smoke-pyro-long-range/	4213-4223-4233-CTS-Rev-C.pdf		
33	40mm White Smoke Multi Projectile (3)		projectile	40	shot shell									Combined Systems, Inc.	https://www.combinedsystems.com/	4213					DSC_0660.jpg		https://www.combinedsystems.com/product/4230-40mm-cs-smoke-pyro-4-8-long-range/	4213-4223-4233-CTS-Rev-C.pdf		
34	Yellow Smoke		grenade		pyrotechnic									Defense Technology®	https://www.defense-technology.com/	1069					DSC_0663.jpg		https://www.defense-technology.com/product/military-style-yellow-smoke-grenade/	Colored-Smoke-Grenade.pdf	Defense Technology 1069 - Military-Style Smoke Grenade - Yellow.pdf	
35	Grenade, Non-Lethal	hand ball	grenade		explosive									Unknown							DSC_0664.jpg					no company name
36	PAVA Less Lethal	red powderball globe case	projectile	0.68	powder ball									RAP4		15948					DSC_0666.jpg		https://web.archive.org/web/20121215164645/http://www.rap4.com/store/paintball/less-lethal-live-agent-rounds			
37	LIVE™	red or red and white pepperball	projectile	0.68	powder ball									PepperBall®	https://www.pepperball.com/						DSC_0669.jpg		https://www.pepperball.com/products/live/	spec-round-LIVE-19141.pdf		
38	Riot CS		grenade	615.2	pyrotechnic									Combined Systems, Inc.	https://www.combinedsystems.com/	6230					DSC_0675.jpg		https://www.combinedsystems.com/product/6230-cs-canister-grenade/	6210-6220-6230-CTS-Rev-D.pdf		
39	40MM Sting-BALLTM Smokeless 60CAL Rubber Pellet	rubber buckshot	projectile	40	shot shell									Combined Systems, Inc.	https://www.combinedsystems.com/	4558					DSC_0681.jpg		https://www.combinedsystems.com/product/4558-40mm-60-cal-sting-balls-smokeless-4-8-long/	4558-CTS-Rev-C.pdf		
40	STING BALL	hand ball	grenade		explosive									Combined Systems, Inc.	https://www.combinedsystems.com/	9590					DSC_0688.jpg		https://www.combinedsystems.com/product/9590-no-irritant-sting-ball-grenade-priced-individually-must-order-in-quantities-of-12/			
41	37MM Sage Rifled - Impact	Impact baton	projectile	37	shot shell									Sage Control Ordnance Inc.	http://www.sageinternationalltd.com/SCOI/index.html	KO1					DSC_0147.jpg		http://www.sageinternationalltd.com/SCOI/ko1.html			
42	Pocket Tactical Grenade, Green Smoke™		grenade	3.6 12	pyrotechnic									Defense Technology®	https://www.defense-technology.com/	1017G					Ee423oiUwAAw8Ii.jpg		https://www.defense-technology.com/product/tactical-smoke-grenade-green/	Pocket-Tactical-Grenade.pdf		photo from https://twitter.com/45thabsurdist/status/1292030478556336133/photo/1
43	Muzzle Blast 40 mm Round, OC		projectile	40	shot shell									Defense Technology®	https://www.defense-technology.com/	6040					EdL3xL3U0AA0T6g.jpg		https://www.defense-technology.com/product/muzzle-blast-40-mm-round-oc/	40mm-Muzzle-Blast.pdf	Defense Technology 6040 - Muzzle Blast 40 mm Round - OC.pdf	photo from https://twitter.com/R3volutionDaddy/status/1284361273652600832
44	Spede-Heat™ 40 mm Long-Range Round, CS		projectile	40	shot shell									Defense Technology®	https://www.defense-technology.com/	6182					EdL3xL3U0AA0T6g.jpg		https://www.defense-technology.com/product/spede-heat-40-mm-long-range-round-cs/	40mm-Spede-Heat-Long-Range.pdf	Defense Technology 6182 - Spede-Heat 40mm Long-Range Round - CS.pdf	photo from https://twitter.com/R3volutionDaddy/status/1284361273652600832
45																										
46																										
47																										
48																										
49																										
50																										
51																										
52																										
53																										
54																										
55																										
56																										
57																										
58																										
59																										
60																										
61																										
62																										
63																										
64																										
65																										
66																										
67																										
68																										
69																										
70																										
71																										
72																										
73																										
74																										
75																										
76																										
77																										
78																										
79																										
80																										
81																										
82																										
83																										
84																										
85																										
86																										
87																										
88																										
89																										
90																										
91																										
92																										
93																										
94																										
95																										
96																										
97																										
98																										
99																										
